Type,Model Year,JD,RA (deg),Obliquity (deg)
VE,-298759,-107398252.306302,357.338764,0.000000
SS,-298759,-107398160.130096,87.338775,23.358808
AE,-298759,-107398071.016595,177.338820,-0.000000
WS,-298759,-107397980.596612,267.338831,-23.358786
VE,-298730,-107387660.292671,357.342044,-0.000000
SS,-298730,-107387568.095886,87.342055,23.357535
AE,-298730,-107387478.977229,177.342100,-0.000000
WS,-298730,-107387388.577494,267.342110,-23.357513
VE,-298701,-107377068.279130,357.345308,-0.000000
SS,-298701,-107376976.061790,87.345319,23.356253
AE,-298701,-107376886.937807,177.345364,-0.000000
WS,-298701,-107376796.558286,267.345374,-23.356232
VE,-298672,-107366476.265678,357.348557,-0.000000
SS,-298672,-107366384.027809,87.348567,23.354964
AE,-298672,-107366294.898329,177.348612,-0.000000
WS,-298672,-107366204.538988,267.348622,-23.354942
VE,-298643,-107355884.252314,357.351790,-0.000000
SS,-298643,-107355791.993945,87.351800,23.353666
AE,-298643,-107355702.858796,177.351845,-0.000000
WS,-298643,-107355612.519598,267.351855,-23.353644
VE,-298614,-107345292.239038,357.355008,0.000000
SS,-298614,-107345199.960198,87.355018,23.352360
AE,-298614,-107345110.819209,177.355063,0.000000
WS,-298614,-107345020.500116,267.355072,-23.352338
VE,-298585,-107334700.225850,357.358209,0.000000
SS,-298585,-107334607.926569,87.358219,23.351046
AE,-298585,-107334518.779570,177.358264,-0.000000
WS,-298585,-107334428.480541,267.358273,-23.351023
VE,-298556,-107324108.212748,357.361395,0.000000
SS,-298556,-107324015.893058,87.361405,23.349723
AE,-298556,-107323926.739878,177.361450,-0.000000
WS,-298556,-107323836.460873,267.361458,-23.349701
VE,-298527,-107313516.199732,357.364565,-0.000000
SS,-298527,-107313423.859668,87.364574,23.348393
AE,-298527,-107313334.700134,177.364619,-0.000000
WS,-298527,-107313244.441111,267.364627,-23.348370
VE,-298498,-107302924.186801,357.367718,-0.000000
SS,-298498,-107302831.826398,87.367727,23.347054
AE,-298498,-107302742.660340,177.367772,-0.000000
WS,-298498,-107302652.421254,267.367781,-23.347031
VE,-298469,-107292332.173955,357.370856,-0.000000
SS,-298469,-107292239.793249,87.370865,23.345707
AE,-298469,-107292150.620496,177.370910,-0.000000
WS,-298469,-107292060.401302,267.370917,-23.345684
